Metabolite name	Metabolite description	Formula	Charge			
val_L[e]	L-Valine extracellular	C5H11NO2	0			
dag_hs_18_0_18_2[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
val_L[c]	L-Valine cytosol	C5H11NO2	0			
5hoxindact[c]	5-Hydroxyindoleacetaldehyde cytosol	C10H9NO2	0			
rnam[c]	N-Ribosylnicotinamide cytosol	C11H15N2O5	1			
sphings[c]	Sphingosine cytosol	C18H38NO2	1			
uri[c]	Uridine cytosol	C9H12N2O6	0			
3mox4hpac[c]	3-Methoxy-4-hydroxyphenylacetaldehyde cytosol	C9H10O3	0			
uri[e]	Uridine extracellular	C9H12N2O6	0			
trp_L[c]	L-Tryptophan cytosol	C11H12N2O2	0			
trp_L[e]	L-Tryptophan extracellular	C11H12N2O2	0			
pa_hs_16_0_20_4[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
L2aadp[m]	L-2-Aminoadipate mitochondria	C6H10NO4	-1			
pyr[c]	Pyruvate cytosol	C3H3O3	-1			
ps_hs_16_0_20_4[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
pyr[e]	Pyruvate extracellular	C3H3O3	-1			
biliverd[c]	Biliverdin cytosol	C33H32N4O6	-2			
34hpp[c]	3-(4-Hydroxyphenyl)pyruvate cytosol	C9H7O4	-1			
pe_hs_18_0_18_2[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
nadh[m]	Nicotinamide adenine dinucleotide - reduced mitochondria	C21H27N7O14P2	-2			
fald[m]	Formaldehyde mitochondria	CH2O	0			
na1[c]	Sodium cytosol	Na	1			
urate[c]	Urate cytosol	C5H4N4O3	0			
na1[e]	Sodium extracellular	Na	1			
urate[e]	Urate extracellular	C5H4N4O3	0			
pe_hs_16_0_18_2[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
fald[c]	Formaldehyde cytosol	CH2O	0			
L2aadp6sa[m]	L-2-Aminoadipate 6-semialdehyde mitochondria	C6H11NO3	0			
pchol_hs_18_2_18_2[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
pe_hs_16_0_18_0[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
pail45p_hs_18_0_20_4[c]	"phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:0, C20:4) cytosol"	C47H80O19P3	-5			
chol[c]	Choline cytosol	C5H14NO	1			
pail345p_hs_16_0_18_2[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
pail45p_hs_16_0_16_0[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
mal_L[c]	L-Malate cytosol	C4H4O5	-2			
